kind,id,file,note
crop,eggplant,game/art/crops/crop_eggplant.png,成熟图
crop,cucumber,game/art/crops/crop_cucumber.png,成熟图
crop,pumpkin,game/art/crops/crop_pumpkin.png,成熟图
crop_stage,pumpkin:s0,game/art/crops/crop_pumpkin_s0.png,
crop_stage,pumpkin:s1,game/art/crops/crop_pumpkin_s1.png,
crop_stage,pumpkin:s2,game/art/crops/crop_pumpkin_s2.png,
crop_stage,pumpkin:s3,game/art/crops/crop_pumpkin_s3.png,
crop,sweet_potato,game/art/crops/crop_sweet_potato.png,成熟图
crop,grape,game/art/crops/crop_grape.png,成熟图
crop_stage,grape:s0,game/art/crops/crop_grape_s0.png,
crop_stage,grape:s1,game/art/crops/crop_grape_s1.png,
crop_stage,grape:s2,game/art/crops/crop_grape_s2.png,
crop_stage,grape:s3,game/art/crops/crop_grape_s3.png,
crop,rice,game/art/crops/crop_rice.png,成熟图
crop_stage,rice:s0,game/art/crops/crop_rice_s0.png,
crop_stage,rice:s1,game/art/crops/crop_rice_s1.png,
crop_stage,rice:s2,game/art/crops/crop_rice_s2.png,
crop_stage,rice:s3,game/art/crops/crop_rice_s3.png,
crop,wheat,game/art/crops/crop_wheat.png,成熟图
crop,mushroom,game/art/crops/crop_mushroom.png,成熟图
crop_stage,mushroom:s0,game/art/crops/crop_mushroom_s0.png,
crop_stage,mushroom:s1,game/art/crops/crop_mushroom_s1.png,
crop_stage,mushroom:s2,game/art/crops/crop_mushroom_s2.png,
crop_stage,mushroom:s3,game/art/crops/crop_mushroom_s3.png,
crop,hazelnut,game/art/crops/crop_hazelnut.png,成熟图
crop,sunflower,game/art/crops/crop_sunflower.png,成熟图
crop_stage,sunflower:s0,game/art/crops/crop_sunflower_s0.png,
crop_stage,sunflower:s1,game/art/crops/crop_sunflower_s1.png,
crop_stage,sunflower:s2,game/art/crops/crop_sunflower_s2.png,
crop_stage,sunflower:s3,game/art/crops/crop_sunflower_s3.png,
crop,lavender,game/art/crops/crop_lavender.png,成熟图
crop,chrysanthemum,game/art/crops/crop_chrysanthemum.png,成熟图
crop,plum,game/art/crops/crop_plum.png,成熟图
crop,apple,game/art/crops/crop_apple.png,成熟图
crop_stage,apple:s0,game/art/crops/crop_apple_s0.png,
crop_stage,apple:s1,game/art/crops/crop_apple_s1.png,
crop_stage,apple:s2,game/art/crops/crop_apple_s2.png,
crop_stage,apple:s3,game/art/crops/crop_apple_s3.png,
crop,pear,game/art/crops/crop_pear.png,成熟图
crop,tea,game/art/crops/crop_tea.png,成熟图
crop_stage,tea:s0,game/art/crops/crop_tea_s0.png,
crop_stage,tea:s1,game/art/crops/crop_tea_s1.png,
crop_stage,tea:s2,game/art/crops/crop_tea_s2.png,
crop_stage,tea:s3,game/art/crops/crop_tea_s3.png,
crop,herb,game/art/crops/crop_herb.png,成熟图
crop,cotton,game/art/crops/crop_cotton.png,成熟图
crop,flax,game/art/crops/crop_flax.png,成熟图
crop,cocoa_seed,game/art/crops/crop_cocoa_seed.png,成熟图
crop,vanilla,game/art/crops/crop_vanilla.png,成熟图
crop,ginger,game/art/crops/crop_ginger.png,成熟图
crop,lotus,game/art/crops/crop_lotus.png,成熟图
crop,bamboo_shoot,game/art/crops/crop_bamboo_shoot.png,成熟图
crop,cocoa_bean,game/art/crops/crop_cocoa_bean.png,成熟图
crop,wintermelon,game/art/crops/crop_wintermelon.png,成熟图
crop,snow_pea,game/art/crops/crop_snow_pea.png,成熟图
crop,holly,game/art/crops/crop_holly.png,成熟图
crop,mandarin,game/art/crops/crop_mandarin.png,成熟图
crop,asparagus,game/art/crops/crop_asparagus.png,成熟图
crop,artichoke,game/art/crops/crop_artichoke.png,成熟图
seed,seed_turnip,game/art/items/seed_turnip.png,
seed,seed_potato,game/art/items/seed_potato.png,
seed,seed_tomato,game/art/items/seed_tomato.png,
seed,seed_berry,game/art/items/seed_berry.png,
seed,seed_cabbage,game/art/items/seed_cabbage.png,
seed,seed_carrot,game/art/items/seed_carrot.png,
seed,seed_onion,game/art/items/seed_onion.png,
seed,seed_garlic,game/art/items/seed_garlic.png,
seed,seed_radish,game/art/items/seed_radish.png,
seed,seed_lettuce,game/art/items/seed_lettuce.png,
seed,seed_spinach,game/art/items/seed_spinach.png,
seed,seed_pea,game/art/items/seed_pea.png,
seed,seed_strawberry,game/art/items/seed_strawberry.png,
seed,seed_corn,game/art/items/seed_corn.png,
seed,seed_watermelon,game/art/items/seed_watermelon.png,
seed,seed_melon,game/art/items/seed_melon.png,
seed,seed_pepper,game/art/items/seed_pepper.png,
seed,seed_eggplant,game/art/items/seed_eggplant.png,
seed,seed_cucumber,game/art/items/seed_cucumber.png,
seed,seed_pumpkin,game/art/items/seed_pumpkin.png,
seed,seed_sweet_potato,game/art/items/seed_sweet_potato.png,
seed,seed_grape,game/art/items/seed_grape.png,
seed,seed_rice,game/art/items/seed_rice.png,
seed,seed_wheat,game/art/items/seed_wheat.png,
seed,mushroom_seed,game/art/items/seed_mushroom.png,
seed,seed_hazelnut,game/art/items/seed_hazelnut.png,
seed,seed_sunflower,game/art/items/seed_sunflower.png,
seed,seed_lavender,game/art/items/seed_lavender.png,
seed,seed_chrysanthemum,game/art/items/seed_chrysanthemum.png,
seed,seed_plum,game/art/items/seed_plum.png,
seed,seed_apple,game/art/items/seed_apple.png,
seed,seed_pear,game/art/items/seed_pear.png,
seed,seed_tea,game/art/items/seed_tea.png,
seed,seed_herb,game/art/items/seed_herb.png,
seed,seed_cotton,game/art/items/seed_cotton.png,
seed,seed_flax,game/art/items/seed_flax.png,
seed,seed_cocoa_seed,game/art/items/seed_cocoa_seed.png,
seed,seed_vanilla,game/art/items/seed_vanilla.png,
seed,seed_ginger,game/art/items/seed_ginger.png,
seed,seed_lotus,game/art/items/seed_lotus.png,
seed,seed_bamboo_shoot,game/art/items/seed_bamboo_shoot.png,
seed,seed_cocoa_bean,game/art/items/seed_cocoa_bean.png,
seed,seed_wintermelon,game/art/items/seed_wintermelon.png,
seed,seed_snow_pea,game/art/items/seed_snow_pea.png,
seed,seed_holly,game/art/items/seed_holly.png,
seed,seed_mandarin,game/art/items/seed_mandarin.png,
seed,seed_asparagus,game/art/items/seed_asparagus.png,
seed,seed_artichoke,game/art/items/seed_artichoke.png,
dish,turnip_cake,game/art/items/dish_turnip_cake.png,
dish,berry_jam,game/art/items/dish_berry_jam.png,
dish,tomato_soup,game/art/items/dish_veg_soup.png,语义近似：veg_soup
dish,potato_stew,game/art/items/dish_veg_stew.png,语义近似：veg_stew
dish,salad,game/art/items/dish_salad.png,
dish,veggie_skewer,game/art/items/dish_mixed_plate.png,语义近似：mixed_plate
dish,fish_grill,game/art/items/dish_grilled_fish.png,语义近似：grilled_fish
dish,fish_stew,game/art/items/dish_fish_soup.png,语义近似：fish_soup
dish,berry_pie,game/art/items/dish_pumpkin_pie.png,语义近似：pumpkin_pie
dish,apple_pie,game/art/items/dish_apple_pie.png,
dish,corn_bread,game/art/items/dish_bread.png,语义近似：bread
dish,pumpkin_soup,game/art/items/dish_corn_soup.png,语义近似：corn_soup
dish,mushroom_risotto,game/art/items/dish_mushroom_pot.png,语义近似：mushroom_pot
dish,honey_toast,game/art/items/dish_honey_toast.png,
dish,tea_set,game/art/items/dish_tea.png,语义近似：tea
dish,coffee,game/art/items/dish_hot_cocoa.png,语义近似：hot_cocoa
dish,hot_cocoa,game/art/items/dish_hot_cocoa.png,
dish,wine_grape,game/art/items/dish_grape_wine.png,语义近似：grape_wine
dish,sushi,game/art/items/dish_rice_ball.png,语义近似：rice_ball
dish,rice_bowl,game/art/items/dish_fried_rice.png,语义近似：fried_rice
dish,noodle,game/art/items/dish_noodles.png,语义近似：noodles
dish,dumpling,game/art/items/dish_dumpling.png,
dish,hotpot,game/art/items/dish_mushroom_pot.png,语义近似：mushroom_pot
dish,cheese,game/art/items/dish_cheese.png,
dish,butter_toast,game/art/items/dish_honey_toast.png,语义近似：honey_toast
dish,jam_toast,game/art/items/dish_jam_bun.png,语义近似：jam_bun
dish,pickles,game/art/items/dish_pickle.png,语义近似：pickle
dish,kimchi,game/art/items/dish_pickle.png,语义近似：pickle
dish,smoked_eel,game/art/items/dish_grilled_fish.png,语义近似：grilled_fish
dish,honey,game/art/items/dish_honey_cake.png,语义近似：honey_cake
dish,candy,game/art/items/dish_cookie.png,语义近似：cookie
dish,chocolate,game/art/items/dish_cake.png,语义近似：cake
dish,cake,game/art/items/dish_cake.png,
dish,pudding,game/art/items/dish_pudding.png,
dish,ice,game/art/items/dish_ice_cream.png,语义近似：ice_cream
dish,sun_cake,game/art/items/dish_pancake.png,语义近似：pancake
dish,herb_salt,game/art/items/dish_herbal_soup.png,语义近似：herbal_soup
dish,ginger_tea,game/art/items/dish_ginger_tea.png,
dish,mixed_juice,game/art/items/dish_mixed_plate.png,语义近似：mixed_plate
dish,legend_feast,game/art/items/dish_feast.png,语义近似：feast
fish,carp_spring,game/art/items/fish_brook_carp.png,溪鲤（近似：brook_carp）
fish,crucian,game/art/items/fish_crucian.png,银鲫
fish,loach,game/art/items/fish_loach.png,泥鳅
fish,dace,game/art/items/fish_medaka.png,雅罗（近似：medaka）
fish,bluegill,game/art/items/fish_mandarin.png,蓝鳃太阳鱼（近似：mandarin）
fish,bass,game/art/items/fish_river_perch.png,河鲈（近似：river_perch）
fish,catfish,game/art/items/fish_catfish.png,鲶鱼
fish,puffer,game/art/items/fish_stone_grouper.png,河豚（近似：stone_grouper）
fish,mackerel,game/art/items/fish_silver_crucian.png,鲭鱼（近似：silver_crucian）
fish,salmon,game/art/items/fish_rainbow_trout.png,溯河鲑（近似：rainbow_trout）
fish,carp_mirror,game/art/items/fish_grass_carp.png,镜鲤（近似：grass_carp）
fish,night_eel,game/art/items/fish_eel.png,夜鳗（近似：eel）
fish,eel,game/art/items/fish_eel.png,黄鳝
fish,gudgeon,game/art/items/fish_sweetfish.png,吻鮈（近似：sweetfish）
fish,ice_trout,game/art/items/fish_crystal_fish.png,冰晶鳟（近似：crystal_fish）
fish,whitefish,game/art/items/fish_moonfish.png,白鲑（近似：moonfish）
fish,smelt,game/art/items/fish_lanternfish.png,胡瓜鱼（近似：lanternfish）
fish,pike,game/art/items/fish_snakehead.png,狗鱼（近似：snakehead）
fish,moon_koi,game/art/items/fish_koi.png,月光锦鲤（近似：koi）
fish,ghost_fish,game/art/items/fish_mist_fish.png,幽灵鱼（近似：mist_fish）
fish,crystal_shrimp,game/art/items/fish_star_bass.png,雾晶虾（近似：star_bass）
fish,stone_loach,game/art/items/fish_lake_sturgeon.png,石鳅（近似：lake_sturgeon）
fish,pond_turtle,game/art/items/fish_bronze_carp.png,池龟（近似：bronze_carp）
fish,legend_fish,game/art/items/fish_legendary.png,传说之鱼（近似：legendary）
antique,clay_bell,game/art/items/relic_clay_bell_shard.png,陶铃残片（近似：clay_bell_shard）
antique,glass_marble,game/art/items/relic_mist_marble.png,雾晶弹珠（近似：mist_marble）
antique,old_letter,game/art/items/relic_old_letter.png,风干的信
antique,gear_toy,game/art/items/relic_gear_toy.png,齿轮玩具
antique,porcelain_shard,game/art/items/relic_celadon_shard.png,青瓷片（近似：celadon_shard）
antique,bronze_coin,game/art/items/relic_bronze_coin.png,青铜钱
antique,wooden_comb,game/art/items/relic_wood_mask.png,木梳（近似：wood_mask）
antique,stone_bead,game/art/items/relic_stone_tablet.png,石珠（近似：stone_tablet）
antique,glass_bottle,game/art/items/relic_clay_jug.png,雾玻璃瓶（近似：clay_jug）
antique,iron_key,game/art/items/relic_compass.png,旧铁钥（近似：compass）
antique,bone_flake,game/art/items/relic_ring_fragment.png,骨哨残片（近似：ring_fragment）
antique,pocket_watch,game/art/items/relic_star_map.png,怀表（停了）（近似：star_map）
item_icon,hoe,game/art/items/icon_hoe.png,
item_icon,watering_can,game/art/items/icon_watering_can.png,
item_icon,wood_axe,game/art/items/icon_axe.png,别名：axe
item_icon,stone_pick,game/art/items/icon_pickaxe.png,别名：pickaxe
item_icon,wood,game/art/items/icon_wood.png,
item_icon,stone,game/art/items/icon_stone.png,
item_icon,fiber,game/art/items/icon_fiber.png,
item_icon,wind_shard,game/art/items/icon_windchime_shard.png,别名：windchime_shard
item_icon,copper_ore,game/art/items/icon_copper.png,别名：copper
item_icon,iron_ore,game/art/items/icon_iron.png,别名：iron
item_icon,silver_ore,game/art/items/icon_silver.png,别名：silver
item_icon,gold_ore,game/art/items/icon_gold.png,别名：gold
item_icon,mythril_shard,game/art/items/icon_star_crystal.png,别名：star_crystal
item_icon,egg,game/art/items/icon_egg.png,
item_icon,milk,game/art/items/icon_milk.png,
item_icon,wool,game/art/items/icon_wool.png,
item_icon,duck_egg,game/art/items/icon_duck_egg.png,
item_icon,goat_milk,game/art/items/icon_goat_milk.png,
furniture,field_marker,game/art/furniture/furniture_field_marker.png,
furniture,tiny_bell,game/art/furniture/furniture_wind_chime.png,别名：wind_chime
furniture,wood_fence,game/art/furniture/furniture_fence.png,别名：fence
furniture,stone_path,game/art/furniture/furniture_stone_tile.png,别名：stone_tile
furniture,flower_pot,game/art/furniture/furniture_pot.png,别名：pot
furniture,lantern,game/art/furniture/furniture_lantern.png,
furniture,bench,game/art/furniture/furniture_bench.png,
furniture,sign_post,game/art/furniture/furniture_sign.png,别名：sign
furniture,well,game/art/furniture/furniture_well.png,
furniture,birdhouse,game/art/furniture/furniture_birdhouse.png,
furniture,windmill_toy,game/art/furniture/furniture_windmill_toy.png,
furniture,crystal_lamp,game/art/furniture/furniture_crystal_lamp.png,
furniture,rug,game/art/furniture/furniture_rug.png,
furniture,curtain,game/art/furniture/furniture_curtain.png,
furniture,bookshelf,game/art/furniture/furniture_bookshelf.png,
furniture,tea_table,game/art/furniture/furniture_tea_table.png,
furniture,painting_hills,game/art/furniture/furniture_painting_valley.png,别名：painting_valley
furniture,painting_lake,game/art/furniture/furniture_painting_lake.png,
furniture,painting_mine,game/art/furniture/furniture_painting_cave.png,别名：painting_cave
furniture,bell_mobile,game/art/furniture/furniture_bell_hanging.png,别名：bell_hanging
furniture,festival_banner,game/art/furniture/furniture_banner.png,别名：banner
furniture,photo_frame,game/art/furniture/furniture_frame.png,别名：frame
furniture,trophy_cup,game/art/furniture/furniture_frame.png,别名：frame
furniture,music_box,game/art/furniture/furniture_music_box.png,
furniture,potted_tree,game/art/furniture/furniture_potted_tree.png,
furniture,stone_lantern,game/art/furniture/furniture_stone_lantern.png,
furniture,hanging_bells,game/art/furniture/furniture_eave_chime.png,别名：eave_chime
furniture,picnic_set,game/art/furniture/furniture_picnic_basket.png,别名：picnic_basket
furniture,cat_bed,game/art/furniture/furniture_cat_bed.png,
furniture,telescope,game/art/furniture/furniture_telescope.png,
npc,grandpa_lin,game/art/chars/npc_grandpa_lin.png,
npc,xiaoman,game/art/chars/npc_xiaoman.png,
npc,zhi_tao,game/art/chars/npc_zhi_tao.png,
npc,atang,game/art/chars/npc_atang.png,
npc,jiangcheng,game/art/chars/npc_jiangcheng.png,
npc,yunzhou,game/art/chars/npc_yunzhou.png,
npc,shijiang,game/art/chars/npc_shijiang.png,
npc,chapo,game/art/chars/npc_chapo.png,
ore_rock,copper_ore,game/art/enemies/enemy_ore_rock_copper.png,复用 copper + 色相 
ore_rock,gold_ore,game/art/enemies/enemy_ore_rock_stone.png,复用 stone + 色相 #E8C87A
ore_rock,iron_ore,game/art/enemies/enemy_ore_rock_iron.png,复用 iron + 色相 
ore_rock,mythril_shard,game/art/enemies/enemy_ore_rock_crystal.png,复用 crystal + 色相 #8FD8E8
ore_rock,silver_ore,game/art/enemies/enemy_ore_rock_stone.png,复用 stone + 色相 #D9E0F0
ore_rock,stone,game/art/enemies/enemy_ore_rock_stone.png,原图
ore_rock,wind_shard,game/art/enemies/enemy_ore_rock_crystal.png,复用 crystal + 色相 
enemy_frame,slime:walk:00,game/art/enemies/enemy_slime_walk_00.png,
enemy_frame,slime:walk:01,game/art/enemies/enemy_slime_walk_01.png,
enemy_frame,slime:walk:02,game/art/enemies/enemy_slime_walk_02.png,
enemy_frame,slime:walk:03,game/art/enemies/enemy_slime_walk_03.png,
enemy_frame,bat:fly:00,game/art/enemies/enemy_mist_bat_fly_00.png,
enemy_frame,bat:fly:01,game/art/enemies/enemy_mist_bat_fly_01.png,
enemy_frame,bat:fly:02,game/art/enemies/enemy_mist_bat_fly_02.png,
enemy_frame,bat:fly:03,game/art/enemies/enemy_mist_bat_fly_03.png,
enemy_frame,slime_king:fall:00,game/art/enemies/enemy_stone_guardian_fall_00.png,
enemy_frame,slime_king:fall:01,game/art/enemies/enemy_stone_guardian_fall_01.png,
enemy_frame,slime_king:fall:02,game/art/enemies/enemy_stone_guardian_fall_02.png,
enemy_frame,slime_king:fall:03,game/art/enemies/enemy_stone_guardian_fall_03.png,
enemy_frame,slime_king:fall:04,game/art/enemies/enemy_stone_guardian_fall_04.png,
enemy_frame,slime_king:fall:05,game/art/enemies/enemy_stone_guardian_fall_05.png,
player_walk,down:00,game/art/chars/walk/player_down_00.png,
player_walk,down:01,game/art/chars/walk/player_down_01.png,
player_walk,down:02,game/art/chars/walk/player_down_02.png,
player_walk,down:03,game/art/chars/walk/player_down_03.png,
player_walk,left:00,game/art/chars/walk/player_left_00.png,
player_walk,left:01,game/art/chars/walk/player_left_01.png,
player_walk,left:02,game/art/chars/walk/player_left_02.png,
player_walk,left:03,game/art/chars/walk/player_left_03.png,
player_walk,right:00,game/art/chars/walk/player_right_00.png,
player_walk,right:01,game/art/chars/walk/player_right_01.png,
player_walk,right:02,game/art/chars/walk/player_right_02.png,
player_walk,right:03,game/art/chars/walk/player_right_03.png,
player_walk,up:00,game/art/chars/walk/player_up_00.png,
player_walk,up:01,game/art/chars/walk/player_up_01.png,
player_walk,up:02,game/art/chars/walk/player_up_02.png,
player_walk,up:03,game/art/chars/walk/player_up_03.png,
npc_walk,grandpa_lin:down:00,game/art/chars/walk/npc_grandpa_lin_down_00.png,
npc_walk,grandpa_lin:down:01,game/art/chars/walk/npc_grandpa_lin_down_01.png,
npc_walk,grandpa_lin:down:02,game/art/chars/walk/npc_grandpa_lin_down_02.png,
npc_walk,grandpa_lin:down:03,game/art/chars/walk/npc_grandpa_lin_down_03.png,
npc_walk,grandpa_lin:left:00,game/art/chars/walk/npc_grandpa_lin_left_00.png,
npc_walk,grandpa_lin:left:01,game/art/chars/walk/npc_grandpa_lin_left_01.png,
npc_walk,grandpa_lin:left:02,game/art/chars/walk/npc_grandpa_lin_left_02.png,
npc_walk,grandpa_lin:left:03,game/art/chars/walk/npc_grandpa_lin_left_03.png,
npc_walk,grandpa_lin:right:00,game/art/chars/walk/npc_grandpa_lin_right_00.png,
npc_walk,grandpa_lin:right:01,game/art/chars/walk/npc_grandpa_lin_right_01.png,
npc_walk,grandpa_lin:right:02,game/art/chars/walk/npc_grandpa_lin_right_02.png,
npc_walk,grandpa_lin:right:03,game/art/chars/walk/npc_grandpa_lin_right_03.png,
npc_walk,grandpa_lin:up:00,game/art/chars/walk/npc_grandpa_lin_up_00.png,
npc_walk,grandpa_lin:up:01,game/art/chars/walk/npc_grandpa_lin_up_01.png,
npc_walk,grandpa_lin:up:02,game/art/chars/walk/npc_grandpa_lin_up_02.png,
npc_walk,grandpa_lin:up:03,game/art/chars/walk/npc_grandpa_lin_up_03.png,
npc_walk,xiaoman:down:00,game/art/chars/walk/npc_xiaoman_down_00.png,
npc_walk,xiaoman:down:01,game/art/chars/walk/npc_xiaoman_down_01.png,
npc_walk,xiaoman:down:02,game/art/chars/walk/npc_xiaoman_down_02.png,
npc_walk,xiaoman:down:03,game/art/chars/walk/npc_xiaoman_down_03.png,
npc_walk,xiaoman:left:00,game/art/chars/walk/npc_xiaoman_left_00.png,
npc_walk,xiaoman:left:01,game/art/chars/walk/npc_xiaoman_left_01.png,
npc_walk,xiaoman:left:02,game/art/chars/walk/npc_xiaoman_left_02.png,
npc_walk,xiaoman:left:03,game/art/chars/walk/npc_xiaoman_left_03.png,
npc_walk,xiaoman:right:00,game/art/chars/walk/npc_xiaoman_right_00.png,
npc_walk,xiaoman:right:01,game/art/chars/walk/npc_xiaoman_right_01.png,
npc_walk,xiaoman:right:02,game/art/chars/walk/npc_xiaoman_right_02.png,
npc_walk,xiaoman:right:03,game/art/chars/walk/npc_xiaoman_right_03.png,
npc_walk,xiaoman:up:00,game/art/chars/walk/npc_xiaoman_up_00.png,
npc_walk,xiaoman:up:01,game/art/chars/walk/npc_xiaoman_up_01.png,
npc_walk,xiaoman:up:02,game/art/chars/walk/npc_xiaoman_up_02.png,
npc_walk,xiaoman:up:03,game/art/chars/walk/npc_xiaoman_up_03.png,
npc_walk,zhi_tao:down:00,game/art/chars/walk/npc_zhi_tao_down_00.png,
npc_walk,zhi_tao:down:01,game/art/chars/walk/npc_zhi_tao_down_01.png,
npc_walk,zhi_tao:down:02,game/art/chars/walk/npc_zhi_tao_down_02.png,
npc_walk,zhi_tao:down:03,game/art/chars/walk/npc_zhi_tao_down_03.png,
npc_walk,zhi_tao:left:00,game/art/chars/walk/npc_zhi_tao_left_00.png,
npc_walk,zhi_tao:left:01,game/art/chars/walk/npc_zhi_tao_left_01.png,
npc_walk,zhi_tao:left:02,game/art/chars/walk/npc_zhi_tao_left_02.png,
npc_walk,zhi_tao:left:03,game/art/chars/walk/npc_zhi_tao_left_03.png,
npc_walk,zhi_tao:right:00,game/art/chars/walk/npc_zhi_tao_right_00.png,
npc_walk,zhi_tao:right:01,game/art/chars/walk/npc_zhi_tao_right_01.png,
npc_walk,zhi_tao:right:02,game/art/chars/walk/npc_zhi_tao_right_02.png,
npc_walk,zhi_tao:right:03,game/art/chars/walk/npc_zhi_tao_right_03.png,
npc_walk,zhi_tao:up:00,game/art/chars/walk/npc_zhi_tao_up_00.png,
npc_walk,zhi_tao:up:01,game/art/chars/walk/npc_zhi_tao_up_01.png,
npc_walk,zhi_tao:up:02,game/art/chars/walk/npc_zhi_tao_up_02.png,
npc_walk,zhi_tao:up:03,game/art/chars/walk/npc_zhi_tao_up_03.png,
npc_walk,atang:down:00,game/art/chars/walk/npc_atang_down_00.png,
npc_walk,atang:down:01,game/art/chars/walk/npc_atang_down_01.png,
npc_walk,atang:down:02,game/art/chars/walk/npc_atang_down_02.png,
npc_walk,atang:down:03,game/art/chars/walk/npc_atang_down_03.png,
npc_walk,atang:left:00,game/art/chars/walk/npc_atang_left_00.png,
npc_walk,atang:left:01,game/art/chars/walk/npc_atang_left_01.png,
npc_walk,atang:left:02,game/art/chars/walk/npc_atang_left_02.png,
npc_walk,atang:left:03,game/art/chars/walk/npc_atang_left_03.png,
npc_walk,atang:right:00,game/art/chars/walk/npc_atang_right_00.png,
npc_walk,atang:right:01,game/art/chars/walk/npc_atang_right_01.png,
npc_walk,atang:right:02,game/art/chars/walk/npc_atang_right_02.png,
npc_walk,atang:right:03,game/art/chars/walk/npc_atang_right_03.png,
npc_walk,atang:up:00,game/art/chars/walk/npc_atang_up_00.png,
npc_walk,atang:up:01,game/art/chars/walk/npc_atang_up_01.png,
npc_walk,atang:up:02,game/art/chars/walk/npc_atang_up_02.png,
npc_walk,atang:up:03,game/art/chars/walk/npc_atang_up_03.png,
npc_walk,jiangcheng:down:00,game/art/chars/walk/npc_jiangcheng_down_00.png,
npc_walk,jiangcheng:down:01,game/art/chars/walk/npc_jiangcheng_down_01.png,
npc_walk,jiangcheng:down:02,game/art/chars/walk/npc_jiangcheng_down_02.png,
npc_walk,jiangcheng:down:03,game/art/chars/walk/npc_jiangcheng_down_03.png,
npc_walk,jiangcheng:left:00,game/art/chars/walk/npc_jiangcheng_left_00.png,
npc_walk,jiangcheng:left:01,game/art/chars/walk/npc_jiangcheng_left_01.png,
npc_walk,jiangcheng:left:02,game/art/chars/walk/npc_jiangcheng_left_02.png,
npc_walk,jiangcheng:left:03,game/art/chars/walk/npc_jiangcheng_left_03.png,
npc_walk,jiangcheng:right:00,game/art/chars/walk/npc_jiangcheng_right_00.png,
npc_walk,jiangcheng:right:01,game/art/chars/walk/npc_jiangcheng_right_01.png,
npc_walk,jiangcheng:right:02,game/art/chars/walk/npc_jiangcheng_right_02.png,
npc_walk,jiangcheng:right:03,game/art/chars/walk/npc_jiangcheng_right_03.png,
npc_walk,jiangcheng:up:00,game/art/chars/walk/npc_jiangcheng_up_00.png,
npc_walk,jiangcheng:up:01,game/art/chars/walk/npc_jiangcheng_up_01.png,
npc_walk,jiangcheng:up:02,game/art/chars/walk/npc_jiangcheng_up_02.png,
npc_walk,jiangcheng:up:03,game/art/chars/walk/npc_jiangcheng_up_03.png,
npc_walk,yunzhou:down:00,game/art/chars/walk/npc_yunzhou_down_00.png,
npc_walk,yunzhou:down:01,game/art/chars/walk/npc_yunzhou_down_01.png,
npc_walk,yunzhou:down:02,game/art/chars/walk/npc_yunzhou_down_02.png,
npc_walk,yunzhou:down:03,game/art/chars/walk/npc_yunzhou_down_03.png,
npc_walk,yunzhou:left:00,game/art/chars/walk/npc_yunzhou_left_00.png,
npc_walk,yunzhou:left:01,game/art/chars/walk/npc_yunzhou_left_01.png,
npc_walk,yunzhou:left:02,game/art/chars/walk/npc_yunzhou_left_02.png,
npc_walk,yunzhou:left:03,game/art/chars/walk/npc_yunzhou_left_03.png,
npc_walk,yunzhou:right:00,game/art/chars/walk/npc_yunzhou_right_00.png,
npc_walk,yunzhou:right:01,game/art/chars/walk/npc_yunzhou_right_01.png,
npc_walk,yunzhou:right:02,game/art/chars/walk/npc_yunzhou_right_02.png,
