batch,kind,id,name,files,size,status
A,crop,tea,茶叶,crop_tea.png 或 crop_tea_s0..s3.png,32x32,
C,crop,herb,香草,crop_herb.png 或 crop_herb_s0..s3.png,32x32,
C,crop,cotton,棉花,crop_cotton.png 或 crop_cotton_s0..s3.png,32x32,
C,crop,flax,亚麻,crop_flax.png 或 crop_flax_s0..s3.png,32x32,
C,crop,cocoa_seed,可可豆,crop_cocoa_seed.png 或 crop_cocoa_seed_s0..s3.png,32x32,
C,crop,vanilla,香草荚,crop_vanilla.png 或 crop_vanilla_s0..s3.png,32x32,
C,crop,ginger,姜块,crop_ginger.png 或 crop_ginger_s0..s3.png,32x32,
C,crop,lotus,莲藕,crop_lotus.png 或 crop_lotus_s0..s3.png,32x32,
C,crop,bamboo_shoot,竹笋,crop_bamboo_shoot.png 或 crop_bamboo_shoot_s0..s3.png,32x32,
C,crop,cocoa_bean,咖啡豆,crop_cocoa_bean.png 或 crop_cocoa_bean_s0..s3.png,32x32,
C,crop,wintermelon,冬瓜,crop_wintermelon.png 或 crop_wintermelon_s0..s3.png,32x32,
C,crop,snow_pea,雪豆,crop_snow_pea.png 或 crop_snow_pea_s0..s3.png,32x32,
C,crop,holly,冬青果,crop_holly.png 或 crop_holly_s0..s3.png,32x32,
C,crop,mandarin,金橘,crop_mandarin.png 或 crop_mandarin_s0..s3.png,32x32,
C,crop,asparagus,芦笋,crop_asparagus.png 或 crop_asparagus_s0..s3.png,32x32,
C,crop,artichoke,洋蓟,crop_artichoke.png 或 crop_artichoke_s0..s3.png,32x32,
A,icon_tool,hoe,锄头,icon_hoe.png,32x32,
A,icon_tool,watering_can,水壶,icon_watering_can.png,32x32,
A,icon_tool,wood_axe,斧头,icon_wood_axe.png,32x32,
A,icon_tool,stone_pick,镐子,icon_stone_pick.png,32x32,
C,icon_seed,seed_turnip,白萝卜种子,icon_seed_turnip.png,32x32,
C,icon_seed,seed_potato,土豆种子,icon_seed_potato.png,32x32,
C,icon_seed,seed_tomato,番茄种子,icon_seed_tomato.png,32x32,
C,icon_crop,turnip,白萝卜,icon_turnip.png,32x32,
C,icon_crop,potato,土豆,icon_potato.png,32x32,
C,icon_crop,tomato,番茄,icon_tomato.png,32x32,
A,icon_resource,wood,木材,icon_wood.png,32x32,
A,icon_resource,stone,石块,icon_stone.png,32x32,
A,icon_resource,fiber,纤维,icon_fiber.png,32x32,
A,icon_quest,wind_shard,风铃碎片,icon_wind_shard.png,32x32,
C,icon_cooked,turnip_cake,萝卜糕,icon_turnip_cake.png,32x32,
B,icon_furniture,field_marker,田界牌,icon_field_marker.png,32x32,
B,icon_furniture,tiny_bell,微型风铃,icon_tiny_bell.png,32x32,
B,icon_resource,copper_ore,铜矿,icon_copper_ore.png,32x32,
B,icon_resource,iron_ore,铁矿,icon_iron_ore.png,32x32,
C,icon_seed,seed_berry,浆果种子,icon_seed_berry.png,32x32,
C,icon_crop,berry,山莓,icon_berry.png,32x32,
C,icon_cooked,berry_jam,山莓酱,icon_berry_jam.png,32x32,
C,icon_seed,seed_cabbage,卷心菜种子,icon_seed_cabbage.png,32x32,
C,icon_crop,cabbage,卷心菜,icon_cabbage.png,32x32,
C,icon_seed,seed_carrot,胡萝卜种子,icon_seed_carrot.png,32x32,
C,icon_crop,carrot,胡萝卜,icon_carrot.png,32x32,
C,icon_seed,seed_onion,洋葱种子,icon_seed_onion.png,32x32,
C,icon_crop,onion,洋葱,icon_onion.png,32x32,
C,icon_seed,seed_garlic,蒜头种子,icon_seed_garlic.png,32x32,
C,icon_crop,garlic,蒜头,icon_garlic.png,32x32,
C,icon_seed,seed_radish,樱桃萝卜种子,icon_seed_radish.png,32x32,
C,icon_crop,radish,樱桃萝卜,icon_radish.png,32x32,
C,icon_seed,seed_lettuce,生菜种子,icon_seed_lettuce.png,32x32,
C,icon_crop,lettuce,生菜,icon_lettuce.png,32x32,
C,icon_seed,seed_spinach,菠菜种子,icon_seed_spinach.png,32x32,
C,icon_crop,spinach,菠菜,icon_spinach.png,32x32,
C,icon_seed,seed_pea,豌豆种子,icon_seed_pea.png,32x32,
C,icon_crop,pea,豌豆,icon_pea.png,32x32,
C,icon_seed,seed_strawberry,草莓种子,icon_seed_strawberry.png,32x32,
C,icon_crop,strawberry,草莓,icon_strawberry.png,32x32,
C,icon_seed,seed_corn,玉米种子,icon_seed_corn.png,32x32,
C,icon_crop,corn,玉米,icon_corn.png,32x32,
C,icon_seed,seed_watermelon,西瓜种子,icon_seed_watermelon.png,32x32,
C,icon_crop,watermelon,西瓜,icon_watermelon.png,32x32,
C,icon_seed,seed_melon,蜜瓜种子,icon_seed_melon.png,32x32,
C,icon_crop,melon,蜜瓜,icon_melon.png,32x32,
C,icon_seed,seed_pepper,辣椒种子,icon_seed_pepper.png,32x32,
C,icon_crop,pepper,辣椒,icon_pepper.png,32x32,
C,icon_seed,seed_eggplant,茄子种子,icon_seed_eggplant.png,32x32,
C,icon_crop,eggplant,茄子,icon_eggplant.png,32x32,
C,icon_seed,seed_cucumber,黄瓜种子,icon_seed_cucumber.png,32x32,
C,icon_crop,cucumber,黄瓜,icon_cucumber.png,32x32,
C,icon_seed,seed_pumpkin,南瓜种子,icon_seed_pumpkin.png,32x32,
C,icon_crop,pumpkin,南瓜,icon_pumpkin.png,32x32,
C,icon_seed,seed_sweet_potato,红薯种子,icon_seed_sweet_potato.png,32x32,
C,icon_crop,sweet_potato,红薯,icon_sweet_potato.png,32x32,
C,icon_seed,seed_grape,葡萄种子,icon_seed_grape.png,32x32,
C,icon_crop,grape,葡萄,icon_grape.png,32x32,
C,icon_seed,seed_rice,稻种,icon_seed_rice.png,32x32,
C,icon_crop,rice,稻米,icon_rice.png,32x32,
C,icon_seed,seed_wheat,麦种,icon_seed_wheat.png,32x32,
C,icon_crop,wheat,麦穗,icon_wheat.png,32x32,
C,icon_seed,mushroom_seed,菌棒,icon_mushroom_seed.png,32x32,
C,icon_crop,mushroom,蘑菇,icon_mushroom.png,32x32,
C,icon_seed,seed_hazelnut,榛果苗,icon_seed_hazelnut.png,32x32,
C,icon_crop,hazelnut,榛果,icon_hazelnut.png,32x32,
C,icon_seed,seed_sunflower,向日葵种子,icon_seed_sunflower.png,32x32,
C,icon_crop,sunflower,向日葵,icon_sunflower.png,32x32,
C,icon_seed,seed_lavender,薰衣草种子,icon_seed_lavender.png,32x32,
C,icon_crop,lavender,薰衣草,icon_lavender.png,32x32,
C,icon_seed,seed_chrysanthemum,菊苗,icon_seed_chrysanthemum.png,32x32,
C,icon_crop,chrysanthemum,秋菊,icon_chrysanthemum.png,32x32,
C,icon_seed,seed_plum,李树苗,icon_seed_plum.png,32x32,
C,icon_crop,plum,李子,icon_plum.png,32x32,
C,icon_seed,seed_apple,苹果苗,icon_seed_apple.png,32x32,
C,icon_crop,apple,苹果,icon_apple.png,32x32,
C,icon_seed,seed_pear,梨树苗,icon_seed_pear.png,32x32,
C,icon_crop,pear,梨,icon_pear.png,32x32,
C,icon_seed,seed_tea,茶苗,icon_seed_tea.png,32x32,
C,icon_crop,tea,茶叶,icon_tea.png,32x32,
C,icon_seed,seed_herb,香草种子,icon_seed_herb.png,32x32,
C,icon_crop,herb,香草,icon_herb.png,32x32,
C,icon_seed,seed_cotton,棉种,icon_seed_cotton.png,32x32,
C,icon_crop,cotton,棉花,icon_cotton.png,32x32,
C,icon_seed,seed_flax,亚麻种,icon_seed_flax.png,32x32,
C,icon_crop,flax,亚麻,icon_flax.png,32x32,
C,icon_seed,seed_cocoa_seed,可可苗,icon_seed_cocoa_seed.png,32x32,
C,icon_crop,cocoa_seed,可可豆,icon_cocoa_seed.png,32x32,
C,icon_seed,seed_vanilla,香草兰苗,icon_seed_vanilla.png,32x32,
C,icon_crop,vanilla,香草荚,icon_vanilla.png,32x32,
C,icon_seed,seed_ginger,姜种,icon_seed_ginger.png,32x32,
C,icon_crop,ginger,姜块,icon_ginger.png,32x32,
C,icon_seed,seed_lotus,莲藕种,icon_seed_lotus.png,32x32,
C,icon_crop,lotus,莲藕,icon_lotus.png,32x32,
C,icon_seed,seed_bamboo_shoot,竹笋种,icon_seed_bamboo_shoot.png,32x32,
C,icon_crop,bamboo_shoot,竹笋,icon_bamboo_shoot.png,32x32,
C,icon_seed,seed_cocoa_bean,咖啡苗,icon_seed_cocoa_bean.png,32x32,
C,icon_crop,cocoa_bean,咖啡豆,icon_cocoa_bean.png,32x32,
C,icon_seed,seed_wintermelon,冬瓜种子,icon_seed_wintermelon.png,32x32,
C,icon_crop,wintermelon,冬瓜,icon_wintermelon.png,32x32,
C,icon_seed,seed_snow_pea,雪豆种子,icon_seed_snow_pea.png,32x32,
C,icon_crop,snow_pea,雪豆,icon_snow_pea.png,32x32,
C,icon_seed,seed_holly,冬青苗,icon_seed_holly.png,32x32,
C,icon_crop,holly,冬青果,icon_holly.png,32x32,
C,icon_seed,seed_mandarin,橘树苗,icon_seed_mandarin.png,32x32,
C,icon_crop,mandarin,金橘,icon_mandarin.png,32x32,
C,icon_seed,seed_asparagus,芦笋种子,icon_seed_asparagus.png,32x32,
C,icon_crop,asparagus,芦笋,icon_asparagus.png,32x32,
C,icon_seed,seed_artichoke,洋蓟种子,icon_seed_artichoke.png,32x32,
C,icon_crop,artichoke,洋蓟,icon_artichoke.png,32x32,
C,icon_fish,carp_spring,溪鲤,icon_carp_spring.png,32x32,
C,icon_fish,crucian,银鲫,icon_crucian.png,32x32,
C,icon_fish,loach,泥鳅,icon_loach.png,32x32,
C,icon_fish,dace,雅罗,icon_dace.png,32x32,
C,icon_fish,bluegill,蓝鳃太阳鱼,icon_bluegill.png,32x32,
C,icon_fish,bass,河鲈,icon_bass.png,32x32,
C,icon_fish,catfish,鲶鱼,icon_catfish.png,32x32,
C,icon_fish,puffer,河豚,icon_puffer.png,32x32,
C,icon_fish,mackerel,鲭鱼,icon_mackerel.png,32x32,
C,icon_fish,salmon,溯河鲑,icon_salmon.png,32x32,
C,icon_fish,carp_mirror,镜鲤,icon_carp_mirror.png,32x32,
C,icon_fish,night_eel,夜鳗,icon_night_eel.png,32x32,
C,icon_fish,eel,黄鳝,icon_eel.png,32x32,
C,icon_fish,gudgeon,吻鮈,icon_gudgeon.png,32x32,
C,icon_fish,ice_trout,冰晶鳟,icon_ice_trout.png,32x32,
C,icon_fish,whitefish,白鲑,icon_whitefish.png,32x32,
C,icon_fish,smelt,胡瓜鱼,icon_smelt.png,32x32,
C,icon_fish,pike,狗鱼,icon_pike.png,32x32,
C,icon_fish,moon_koi,月光锦鲤,icon_moon_koi.png,32x32,
C,icon_fish,ghost_fish,幽灵鱼,icon_ghost_fish.png,32x32,
C,icon_fish,crystal_shrimp,雾晶虾,icon_crystal_shrimp.png,32x32,
C,icon_fish,stone_loach,石鳅,icon_stone_loach.png,32x32,
C,icon_fish,pond_turtle,池龟,icon_pond_turtle.png,32x32,
C,icon_fish,legend_fish,传说之鱼,icon_legend_fish.png,32x32,
C,icon_antique,clay_bell,陶铃残片,icon_clay_bell.png,32x32,
C,icon_antique,glass_marble,雾晶弹珠,icon_glass_marble.png,32x32,
C,icon_antique,old_letter,风干的信,icon_old_letter.png,32x32,
C,icon_antique,gear_toy,齿轮玩具,icon_gear_toy.png,32x32,
C,icon_antique,porcelain_shard,青瓷片,icon_porcelain_shard.png,32x32,
C,icon_antique,bronze_coin,青铜钱,icon_bronze_coin.png,32x32,
C,icon_antique,wooden_comb,木梳,icon_wooden_comb.png,32x32,
C,icon_antique,stone_bead,石珠,icon_stone_bead.png,32x32,
C,icon_antique,glass_bottle,雾玻璃瓶,icon_glass_bottle.png,32x32,
C,icon_antique,iron_key,旧铁钥,icon_iron_key.png,32x32,
C,icon_antique,bone_flake,骨哨残片,icon_bone_flake.png,32x32,
C,icon_antique,pocket_watch,怀表（停了）,icon_pocket_watch.png,32x32,
C,icon_cooked,tomato_soup,番茄汤,icon_tomato_soup.png,32x32,
C,icon_cooked,potato_stew,土豆炖锅,icon_potato_stew.png,32x32,
C,icon_cooked,salad,田园沙拉,icon_salad.png,32x32,
C,icon_cooked,veggie_skewer,烤蔬菜串,icon_veggie_skewer.png,32x32,
C,icon_cooked,fish_grill,烤溪鲤,icon_fish_grill.png,32x32,
C,icon_cooked,fish_stew,渔夫炖鱼,icon_fish_stew.png,32x32,
C,icon_cooked,berry_pie,山莓派,icon_berry_pie.png,32x32,
C,icon_cooked,apple_pie,苹果派,icon_apple_pie.png,32x32,
C,icon_cooked,corn_bread,玉米面包,icon_corn_bread.png,32x32,
C,icon_cooked,pumpkin_soup,南瓜浓汤,icon_pumpkin_soup.png,32x32,
C,icon_cooked,mushroom_risotto,蘑菇烩饭,icon_mushroom_risotto.png,32x32,
C,icon_cooked,honey_toast,蜜糖吐司,icon_honey_toast.png,32x32,
C,icon_cooked,tea_set,山雾茶,icon_tea_set.png,32x32,
C,icon_cooked,coffee,咖啡,icon_coffee.png,32x32,
C,icon_cooked,hot_cocoa,热可可,icon_hot_cocoa.png,32x32,
C,icon_cooked,wine_grape,葡萄酿,icon_wine_grape.png,32x32,
C,icon_cooked,sushi,湖鲜寿司,icon_sushi.png,32x32,
C,icon_cooked,rice_bowl,盖浇饭,icon_rice_bowl.png,32x32,
C,icon_cooked,noodle,清汤面,icon_noodle.png,32x32,
C,icon_cooked,dumpling,时蔬饺,icon_dumpling.png,32x32,
C,icon_cooked,hotpot,丰收火锅,icon_hotpot.png,32x32,
C,icon_cooked,cheese,农舍奶酪,icon_cheese.png,32x32,
C,icon_cooked,butter_toast,黄油面包,icon_butter_toast.png,32x32,
C,icon_cooked,jam_toast,果酱吐司,icon_jam_toast.png,32x32,
C,icon_cooked,pickles,腌菜坛,icon_pickles.png,32x32,
C,icon_cooked,kimchi,泡菜,icon_kimchi.png,32x32,
C,icon_cooked,smoked_eel,熏鳗,icon_smoked_eel.png,32x32,
C,icon_cooked,honey,野花蜜,icon_honey.png,32x32,
C,icon_cooked,candy,风铃糖,icon_candy.png,32x32,
C,icon_cooked,chocolate,可可甜点,icon_chocolate.png,32x32,
C,icon_cooked,cake,奶油蛋糕,icon_cake.png,32x32,
C,icon_cooked,pudding,焦糖布丁,icon_pudding.png,32x32,
C,icon_cooked,ice,雾晶冰沙,icon_ice.png,32x32,
C,icon_cooked,sun_cake,向日葵饼,icon_sun_cake.png,32x32,
C,icon_cooked,herb_salt,香草盐,icon_herb_salt.png,32x32,
C,icon_cooked,ginger_tea,姜茶,icon_ginger_tea.png,32x32,
C,icon_cooked,mixed_juice,鲜榨果汁,icon_mixed_juice.png,32x32,
C,icon_cooked,legend_feast,风铃盛宴,icon_legend_feast.png,32x32,
B,icon_furniture,wood_fence,木栅栏,icon_wood_fence.png,32x32,
B,icon_furniture,stone_path,石板路,icon_stone_path.png,32x32,
B,icon_furniture,flower_pot,花盆,icon_flower_pot.png,32x32,
B,icon_furniture,lantern,纸灯笼,icon_lantern.png,32x32,
B,icon_furniture,bench,长椅,icon_bench.png,32x32,
B,icon_furniture,sign_post,木牌,icon_sign_post.png,32x32,
B,icon_furniture,well,小水井,icon_well.png,32x32,
B,icon_furniture,birdhouse,鸟屋,icon_birdhouse.png,32x32,
B,icon_furniture,windmill_toy,风车玩具,icon_windmill_toy.png,32x32,
B,icon_furniture,crystal_lamp,晶石灯,icon_crystal_lamp.png,32x32,
B,icon_furniture,rug,织毯,icon_rug.png,32x32,
B,icon_furniture,curtain,布帘,icon_curtain.png,32x32,
B,icon_furniture,bookshelf,书架,icon_bookshelf.png,32x32,
B,icon_furniture,tea_table,茶几,icon_tea_table.png,32x32,
B,icon_furniture,painting_hills,画·翠谷,icon_painting_hills.png,32x32,
B,icon_furniture,painting_lake,画·湖心,icon_painting_lake.png,32x32,
B,icon_furniture,painting_mine,画·晶洞,icon_painting_mine.png,32x32,
B,icon_furniture,bell_mobile,铃串挂饰,icon_bell_mobile.png,32x32,
B,icon_furniture,festival_banner,祭典幡,icon_festival_banner.png,32x32,
B,icon_furniture,photo_frame,相框,icon_photo_frame.png,32x32,
B,icon_furniture,trophy_cup,纪念杯,icon_trophy_cup.png,32x32,
B,icon_furniture,music_box,音乐盒,icon_music_box.png,32x32,
B,icon_furniture,potted_tree,盆栽树,icon_potted_tree.png,32x32,
B,icon_furniture,stone_lantern,石灯,icon_stone_lantern.png,32x32,
B,icon_furniture,hanging_bells,檐铃,icon_hanging_bells.png,32x32,
B,icon_furniture,picnic_set,野餐篮,icon_picnic_set.png,32x32,
B,icon_furniture,cat_bed,猫窝,icon_cat_bed.png,32x32,
B,icon_furniture,telescope,望远镜,icon_telescope.png,32x32,
B,icon_resource,silver_ore,银矿,icon_silver_ore.png,32x32,
B,icon_resource,gold_ore,金矿,icon_gold_ore.png,32x32,
B,icon_resource,mythril_shard,星纹晶,icon_mythril_shard.png,32x32,
B,icon_resource,egg,鸡蛋,icon_egg.png,32x32,
B,icon_resource,milk,牛奶,icon_milk.png,32x32,
B,icon_resource,wool,羊毛,icon_wool.png,32x32,
B,icon_resource,duck_egg,鸭蛋,icon_duck_egg.png,32x32,
B,icon_resource,goat_milk,羊奶,icon_goat_milk.png,32x32,
C,fish,carp_spring,溪鲤,icon_carp_spring.png,32x32,
C,fish,crucian,银鲫,icon_crucian.png,32x32,
C,fish,loach,泥鳅,icon_loach.png,32x32,
C,fish,dace,雅罗,icon_dace.png,32x32,
C,fish,bluegill,蓝鳃太阳鱼,icon_bluegill.png,32x32,
C,fish,bass,河鲈,icon_bass.png,32x32,
C,fish,catfish,鲶鱼,icon_catfish.png,32x32,
C,fish,puffer,河豚,icon_puffer.png,32x32,
C,fish,mackerel,鲭鱼,icon_mackerel.png,32x32,
C,fish,salmon,溯河鲑,icon_salmon.png,32x32,
C,fish,carp_mirror,镜鲤,icon_carp_mirror.png,32x32,
C,fish,night_eel,夜鳗,icon_night_eel.png,32x32,
C,fish,eel,黄鳝,icon_eel.png,32x32,
C,fish,gudgeon,吻鮈,icon_gudgeon.png,32x32,
C,fish,ice_trout,冰晶鳟,icon_ice_trout.png,32x32,
C,fish,whitefish,白鲑,icon_whitefish.png,32x32,
C,fish,smelt,胡瓜鱼,icon_smelt.png,32x32,
C,fish,pike,狗鱼,icon_pike.png,32x32,
C,fish,moon_koi,月光锦鲤,icon_moon_koi.png,32x32,
C,fish,ghost_fish,幽灵鱼,icon_ghost_fish.png,32x32,
C,fish,crystal_shrimp,雾晶虾,icon_crystal_shrimp.png,32x32,
C,fish,stone_loach,石鳅,icon_stone_loach.png,32x32,
C,fish,pond_turtle,池龟,icon_pond_turtle.png,32x32,
C,fish,legend_fish,传说之鱼,icon_legend_fish.png,32x32,
C,antique,clay_bell,陶铃残片,icon_clay_bell.png,32x32,
C,antique,glass_marble,雾晶弹珠,icon_glass_marble.png,32x32,
C,antique,old_letter,风干的信,icon_old_letter.png,32x32,
C,antique,gear_toy,齿轮玩具,icon_gear_toy.png,32x32,
C,antique,porcelain_shard,青瓷片,icon_porcelain_shard.png,32x32,
C,antique,bronze_coin,青铜钱,icon_bronze_coin.png,32x32,
C,antique,wooden_comb,木梳,icon_wooden_comb.png,32x32,
C,antique,stone_bead,石珠,icon_stone_bead.png,32x32,
C,antique,glass_bottle,雾玻璃瓶,icon_glass_bottle.png,32x32,
C,antique,iron_key,旧铁钥,icon_iron_key.png,32x32,
C,antique,bone_flake,骨哨残片,icon_bone_flake.png,32x32,
C,antique,pocket_watch,怀表（停了）,icon_pocket_watch.png,32x32,
